"Package","File","Title","ContentTypeName","Category","CodeType","ContentMarkupType","CssPrefCount","CssPrefs","UserPrefCount","UserPrefs"
"perc.widget.commentForm","percCommentsForm.xml","Comments Form","percCommentsFormAsset","blog,social","jexl","velocity","1","rootclass","1","labelalign"
"perc.widget.cookieConsent","percCookieConsent.xml","Cookie Consent","percCookieConsent","","jexl","velocity","0","","6","overlayPosition;privacyPolicyLinkText;cookiePolicyLinkText;ariaLabel;ariaRole;hideInPreview"
"perc.widget.directory","percDepartment.xml","Department","percDepartment","","jexl","velocity","0","","8","dptNameFormat;perc_hidefield_orgNameField;perc_hidefield_dptAddressField;perc_hidefield_dptPhoneField;perc_hidefield_dptFaxField;perc_hidefield_dptEmailField;perc_hidefield_dptPageField;perc_hidefield_dptOrganizationField"
"perc.widget.directory","percDirectory.xml","Directory","percDirectory","","jexl","velocity","0","","12","dirTitleFormat;directoryLayoutFormat;perc_hidefield_textSearch;perc_hidefield_filter_dropdown;perc_hidefield_personOrganization;perc_hidefield_personDepartment;perc_hidefield_personTitle;perc_hidefield_personPhoneField;perc_hidefield_personOfficeLocation;perc_hidefield_personEmailField;perc_hidefield_personImageField;perc_display_full_dir"
"perc.widget.directory","percOrganization.xml","Organization","percOrganization","","jexl","velocity","0","","8","orgNameFormat;perc_hidefield_organizationName;perc_hidefield_organizationAddress;perc_hidefield_organizationPhone;perc_hidefield_organizationFax;perc_hidefield_organizationEmail;perc_hidefield_organizationLogo;perc_hidefield_organizationPage"
"perc.widget.directory","percPerson.xml","Person","percPerson","","jexl","velocity","0","","9","perc_hidefield_personOrgField;perc_hidefield_personDptField;perc_hidefield_personTitleField;perc_hidefield_personPhoneField;perc_hidefield_personOfficeLocation;perc_hidefield_personEmailField;perc_hidefield_personImageField;perc_hidefield_personPageField;perc_hidefield_personCaptionField"
"perc.widget.fileAutoList","percFileAutoList.xml","File Auto List","percFileAutoList","rich media,search","jexl","velocity","2","rootclass;listclass","15","listType;listTitleFormat;autoListDivId;listItemFormat;showPostDate;postDateTimeFormat;locale;maxlength;sortby;sortDirection;listAriaLabel;listAriaRole;perc_hide_when_empty;layout;target"
"perc.widget.form","percForm.xml","Form","percFormAsset","integration","jexl","velocity","1","rootclass","1","labelalign"
"perc.widget.iframe","percIframe.xml","Iframe","","integration","jexl","velocity","1","rootclass","11","title;iframeurl;height;width;marginheight;marginwidth;frameborder;referalPolicy;scrollbar;ariaLabel;alternateContent"
"perc.widget.imageSlider","percImageSlider.xml","Image Slider","percImageSlider","content,rich media","jexl","velocity","2","rootclass;captionclass","26","perc_slide_autoplay;perc_show_dots;perc_show_arrows;perc_enable_custom_arrows;perc_prev_arrow_class;perc_next_arrow_class;perc_slide_fade;perc_slide_theme;perc_slide_layout;perc_thumbnail_height;perc_slide_caption_tag_type;perc_slide_caption_2_tag_type;perc_slide_caption_location;perc_slide_caption_alignment;perc_slide_caption_vertical_alignment;perc_slide_image_height;perc_slide_show_number_desktop;perc_slide_show_number_tablet;perc_slide_show_number_mobile;perc_slide_scroll_number;perc_autoplay_speed;perc_scroll_speed;perc_slider_tablet_breakpoint;perc_slider_mobile_breakpoint;perc_slide_targetblank;perc_slide_image_link"
"perc.widget.jquery","percJQueryWidget.xml","jQuery Widget","","Design","jexl","velocity","0","","9","jQueryLocation;jQueryLocationIntegrity;jQueryLocationCrossOrigin;jQueryMigrateLocation;jQueryMigrateLocationIntegrity;jQueryMigrateLocationCrossOrigin;isDeferred;scriptLocation;includeOnPublishedPage"
"perc.widget.jqueryUI","percJQueryUIWidget.xml","jQuery UI Widget","","Design","jexl","velocity","0","","7","jQueryUILocation;jQueryUILocationIntegrity;jQueryUILocationCrossOrigin;jQueryUICSSTheme;isUIDeferred;scriptUILocation;includeUIOnPublishedPage"
"perc.widget.login","percLogin.xml","Login","percLoginAsset","integration","jexl","velocity","1","rootclass","2","perc-label-layout;perc-render-mode"
"perc.widget.MostReadBlogPosts","percMostReadBlogPosts.xml","Most Read Blog Posts","","search","jexl","velocity","1","rootclass","14","sectionPath;promotedPagePaths;summary;hideDate;listDateTimeFormat;locale;mostReadMoreText;timePeriod;headingStyle;ariaRole;ariaLabel;numberOfResults;sortOrderByHits;listTitle"
"perc.widget.poll","percPoll.xml","Polls","percPollAsset","social,blog","jexl","velocity","1","rootclass","7","pollRestrictionType;submitLabel;viewResultsLink;viewResultsLinkText;validationText;totalVotesText;backToPollText"
"perc.widget.registration","percRegistration.xml","Registration (Deprecated)","percRegistrationAsset","integration","jexl","velocity","1","rootclass","3","perc-label-layout;perc-registration-mode;perc-email-verification-required"
"perc.widget.Result","percResult.xml","Result","","search","jexl","velocity","1","rootclass","12","summary;sortby;resultDateTimeFormat;locale;totalMaxResults;maxResultsPerPage;pagingOfText;pagingPagesText;resultHeaderText;resultEntriesTextPlural;resultEntriesTextSingular;readMoreLink"
"perc.widget.rss","percRss.xml","RSS","percRssAsset","blog,social","jexl","velocity","1","rootclass","16","perc-feed-item-limit;perc-feed-show-title;perc-feed-show-item-title;perc-feed-show-item-date;perc-feed-show-item-description;perc-feed-remove-html;perc-feed-description-length;perc-feed-item-date-format;wrappingElement;wrappingElemAriaLabel;titleElement;itemTitleElement;itemDateElement;itemDescriptionElement;feedId;ariaRole"
"perc.widget.secureLogin","percSecureLogin.xml","Secure Login (Deprecated)","percSecureLogin","integration","jexl","velocity","4","rootclass;labelclass;inputclass;buttonclass","2","labelAlign;showForgotPasswordLink"
"perc.widget.socialButtons","percSocialButtons.xml","Social Buttons","percSocialButtons","social","jexl","velocity","0","","9","colorScheme;desktopButtonLocation;mobileButtonLocation;mobileBreakpoint;hideMobile;hideDesktop;desktopVerticalOffset;mobileVerticalOffset;mobileButtonSize"
"perc.widget.taglist","percTagList.xml","Tags","percTagList","blog,search","jexl","velocity","2","rootclass;summaryclass","2","tag_render_option;tag_sort_option"
"perc.widget.title","percTitle.xml","Title","percTitleAsset","content","jexl","velocity","1","rootclass","1","wrapper"
"perc.widgets.blog","percBlogPost.xml","Blog Post","percBlogPostAsset","blog","jexl","velocity","1","rootclass","15","titleFormat;blogPostDateTimeFormat;locale;perc_hidefield_blog_date;blogPostBylineText;perc_hidefield_byline;perc_hidefield_tags;perc_tags_label;perc_hidefield_categories;perc_categories_label;blogNavigationLocation;blogNavigationContext;blogPostNextPost;blogPostPrePost;trackBlogPost"
"perc.widgets.comments","percComments.xml","Comments","","blog,social","jexl","velocity","1","rootclass","1","titleFormat"
"perc.widgets.image","percImage.xml","Image","percImageAsset","content,rich media","jexl","velocity","1","rootclass","6","rendering;altText;title;longdesc;ariaLabel;referalPolicy"
"perc.widgets.liked","percLiked.xml","Like","","social","jexl","velocity","1","rootclass","0",""
"perc.widgets.lists","simplePageAutoList.xml","Auto List","percSimpleAutoList","content,search","jexl","velocity","1","rootclass","3","maxlength;layout;target"
"perc.widgets.lists","simpleTextAutoList.xml","Text Auto List","percSimpleAutoList","content,search","jexl","velocity","0","","3","maxlength;rootclass;layout"
"perc.widgets.nav","percNavBar.xml","Navigation","","navigation","jexl","velocity","1","rootclass","12","maxlevels;rootlevel;maxRootItems;maxSubItems;layout;addtitleattributes;titleNavigateToText;generateSkipLink;skipLinkText;skipLinkRegionId;tabindexValue;navLabel"
"perc.widgets.nav","percNavBreadcrumb.xml","Breadcrumb","","navigation","jexl","velocity","1","rootclass","5","showHome;showCurrentPage;separator;ariaLabel;navLabel"
"perc.widgets.Redirect","percRedirect.xml","Redirect","percRedirect","","jexl","velocity","0","","0",""
